Item,Quantity Used,Quantity Purchased,Designator,Part Number / Description,Link,Cost
Gateron Grey Heron LP Switches,70,"2 (35-pack)",SW1–SW70,Gateron Low‑Profile Grey Heron,https://www.gateron.com/products/gateron-low-profile-grey-heron-switch?VariantsId=10866,$30.10
Gateron Sky Plate-Mounted Stabilizer,1,1,STAB1,Gateron Low‑Profile Stabilizer,https://www.gateron.com/products/gateron-low-profile-sky-plate-mounted-stabilizer,$10.00
Gateron Hot‑Swap PCB Socket,1,1,S1,LP Hotswap Socket,https://www.gateron.com/products/gateron-low-profile-switch-hot-swap-pcb-socket?VariantsId=10233,$7.00
Low profile keycaps,1,1,Keycaps,https://kbdcraft.store/products/keycap-lp,$20.35
EC11,1,1,EC11,EC11 Encoder,,,*Owned*
1N4148 Diodes,1,1,D,Keyboard Diodes,https://www.aliexpress.us/item/2255799955957794.html,$1.48
Heatset inserts,1,1,,Heatset Inserts,https://www.aliexpress.us/item/3256807534424119.html,$2.71
Orpheus Pico,1,1,U1,RP2040 Custom Module,,,*Owned*
EC11 Encoder,1,1,EC11,EC11 (Spare),,,*Owned*
Headers,1,1,2.54mm Male/Female Headers,https://www.aliexpress.us/item/2255800687544049.html,$1.99
3d filament,1,1,3D Filament,https://a.co/d/14iPMzm,$16.14
PCB (w/o discount) + shipping,1,5,,JLCPCB PCB,,,$30.76
Case,1,1,,3D Printed Case,,,
Shipping Gateron (+ Gateron service fee),,,,,Shipping from Gateron,,$11.23
Shipping AliExpress,,,,,Shipping from AliExpress,$3.00
**Total**,,,,,,**$134.76**
